Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg)
651.0,444.9213,164.6532,23.9251
654.0,441.0486,165.9764,23.656
657.0,432.5416,167.274,23.1669
660.0,439.0197,168.5911,22.9869
663.0,439.7291,169.9102,23.0836
666.0,446.2453,171.249,23.2104
669.0,454.7479,172.6132,23.5624
672.0,453.9308,173.975,23.7336
675.0,444.8222,175.3095,23.448
678.0,433.7872,176.6108,22.8954
681.0,444.3482,177.9439,22.8562
684.0,450.0779,179.2941,23.2602
687.0,462.557,180.6818,23.7311
690.0,469.3459,182.0898,24.2576
693.0,471.509,183.5044,24.5501
696.0,445.7008,184.8415,24.0214
699.0,448.2371,186.1862,23.516
702.0,457.7472,187.5594,23.9364
705.0,466.1716,188.9579,24.4877
708.0,470.2391,190.3686,24.8426
711.0,474.1385,191.7911,25.0028
714.0,474.4776,193.2145,24.9806
717.0,480.5523,194.6561,24.9374
720.0,479.9006,196.0958,24.809
723.0,475.3135,197.5218,24.3772
726.0,479.6781,198.9608,24.0774
729.0,472.408,200.378,23.7392
732.0,485.5651,201.8347,23.6665
735.0,484.7773,203.2891,23.8066
738.0,480.6306,204.731,23.5779
741.0,478.8938,206.1676,23.3767
744.0,474.8808,207.5923,23.2167
747.0,482.7954,209.0407,23.3145
750.0,492.6079,210.5185,23.757
753.0,502.1529,212.025,24.2338
756.0,509.2147,213.5526,24.6264
759.0,513.906,215.0943,24.8746
762.0,509.6582,216.6233,24.8171
765.0,499.8564,218.1229,24.3787
768.0,506.5488,219.6425,24.1789
771.0,511.2707,221.1763,24.3054
774.0,508.9094,222.703,24.2007
777.0,518.0433,224.2572,24.1959
780.0,520.537,225.8188,24.309
783.0,506.7814,227.3391,23.9002
786.0,510.7366,228.8713,23.5471
789.0,521.425,230.4356,23.7789
792.0,542.9923,232.0646,24.4288
795.0,533.3739,233.6647,24.6202
798.0,514.903,235.2094,23.901
801.0,525.6292,236.7863,23.6462
804.0,517.3849,238.3385,23.6196
807.0,527.8534,239.922,23.5837
810.0,525.8597,241.4996,23.6911
813.0,533.0629,243.0988,23.7357
816.0,531.3693,244.6929,23.8061
819.0,509.0442,246.22,23.2406
822.0,502.9071,247.7288,22.5985
825.0,551.6276,249.3836,23.5562
828.0,558.8887,251.0603,24.8123
831.0,537.6442,252.6732,24.4864
834.0,538.2771,254.2881,23.9794
837.0,567.1348,255.9895,24.5458
840.0,540.9927,257.6125,24.4729
843.0,543.3445,259.2425,23.7857
846.0,566.1889,260.9411,24.1563
849.0,576.2343,262.6698,24.6853
852.0,564.2248,264.3624,24.4706
855.0,544.8707,265.997,23.6529
858.0,550.8882,267.6497,23.2509
861.0,568.6838,269.3558,23.6609
864.0,576.9069,271.0865,24.1352
867.0,573.4545,272.8068,24.1788
870.0,572.2794,274.5237,24.0412
873.0,570.2647,276.2345,23.9492
876.0,569.3273,277.9425,23.8759
879.0,573.4806,279.6629,23.9424
882.0,575.0006,281.3879,24.0661
885.0,564.6397,283.0818,23.8846
888.0,555.4787,284.7483,23.4713
891.0,556.3645,286.4173,23.2809
894.0,558.8195,288.0938,23.3188
897.0,563.9435,289.7856,23.4315
900.0,581.3949,291.5298,23.8464
903.0,590.6276,293.3017,24.3399
906.0,570.1045,295.012,24.043
909.0,551.6104,296.6669,23.1742
912.0,581.4771,298.4113,23.3444
915.0,609.1931,300.2389,24.453
918.0,591.2161,302.0125,24.5579
921.0,566.578,303.7122,23.5733
924.0,570.1543,305.4227,23.0121
927.0,612.6339,307.2606,23.7889
930.0,638.6234,309.1765,24.9933
933.0,638.7632,311.0928,25.3467
936.0,618.5305,312.9484,24.8087
939.0,606.479,314.7678,24.082
942.0,622.2901,316.6347,24.1335
945.0,620.5662,318.4964,24.4784
948.0,631.7907,320.3917,24.8517
951.0,619.7019,322.2508,25.169
954.0,593.6285,324.0317,24.9086
957.0,575.9402,325.7595,24.725
960.0,565.3316,327.4555,25.11
963.0,572.2602,329.1723,26.3818
966.0,557.6639,330.8453,28.0372
969.0,544.6769,332.4793,29.7799
972.0,531.9632,334.0752,32.3016
975.0,497.4155,335.5675,35.0735
978.0,450.0698,336.9177,37.5839
981.0,395.7514,338.1049,40.1404
984.0,339.2461,339.1227,42.9941
987.0,279.9776,339.9626,46.1232
990.0,246.5803,340.7024,51.7628
993.0,235.8627,341.4099,65.1899
996.0,225.5518,342.0866,90.1093
999.0,207.0069,342.7076,107.0755
1002.0,175.3013,343.2335,179.2629
1005.0,147.7888,343.6769,1124.2015
,,,
