Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
723.0,138.4,68.84,16.03,0.086,307.1,1.65,0.005
726.0,137.2,69.25,16.05,0.085,310.9,1.66,0.006
729.0,133.7,69.65,16.06,0.085,311.1,1.65,0.009
732.0,133.2,70.05,16.07,0.084,313.9,1.66,0.007
735.0,132.0,70.45,16.1,0.083,318.4,1.67,0.007
738.0,132.0,70.84,16.13,0.082,320.8,1.68,0.009
741.0,131.4,71.24,16.18,0.082,323.0,1.7,0.007
744.0,131.7,71.63,16.24,0.082,326.8,1.7,0.007
747.0,132.0,72.03,16.32,0.08,329.7,1.7,0.01
750.0,130.8,72.42,16.41,0.08,333.5,1.72,0.009
753.0,130.0,72.81,16.51,0.079,335.5,1.72,0.005
756.0,129.3,73.2,16.63,0.079,336.2,1.72,0.009
759.0,127.6,73.58,16.76,0.077,342.2,1.74,0.007
762.0,130.2,73.97,16.89,0.076,348.8,1.76,0.007
765.0,127.5,74.36,17.03,0.075,350.7,1.76,0.012
768.0,127.2,74.74,17.17,0.074,359.4,1.8,0.011
771.0,126.2,75.12,17.31,0.073,366.2,1.81,0.009
774.0,125.8,75.49,17.44,0.071,378.4,1.86,0.015
777.0,123.5,75.86,17.58,0.069,383.0,1.85,0.014
780.0,120.9,76.23,17.7,0.069,389.2,1.84,0.009
783.0,118.3,76.58,17.83,0.068,393.1,1.84,0.013
786.0,118.7,76.94,17.96,0.066,407.6,1.89,0.016
789.0,119.0,77.29,18.09,0.065,412.8,1.9,0.014
792.0,116.0,77.64,18.23,0.064,417.3,1.89,0.015
795.0,115.0,77.99,18.37,0.063,426.0,1.91,0.02
798.0,113.0,78.33,18.52,0.062,433.1,1.93,0.018
801.0,113.4,78.67,18.68,0.061,443.7,1.95,0.021
804.0,113.0,79.01,18.85,0.06,445.3,1.94,0.014
807.0,113.9,79.34,19.04,0.059,457.9,1.98,0.014
810.0,108.7,79.67,19.25,0.058,462.6,1.98,0.02
813.0,109.6,80.0,19.47,0.056,474.7,2.0,0.014
816.0,108.8,80.33,19.72,0.055,489.7,2.0,0.016
819.0,103.9,80.64,19.99,0.053,501.9,2.03,0.029
822.0,101.5,80.94,20.27,0.051,523.3,2.12,0.026
825.0,104.1,81.25,20.58,0.05,533.2,2.15,0.018
828.0,103.2,81.56,20.9,0.05,542.7,2.17,0.023
831.0,103.9,81.88,21.23,0.048,556.4,2.18,0.024
834.0,99.5,82.17,21.56,0.047,571.8,2.23,0.028
837.0,100.3,82.47,21.89,0.045,599.7,2.29,0.038
840.0,100.3,82.78,22.2,0.044,616.9,2.3,0.034
843.0,97.2,83.07,22.5,0.042,635.9,2.34,0.043
846.0,94.7,83.35,22.79,0.041,657.6,2.38,0.038
849.0,92.6,83.63,23.06,0.04,668.2,2.35,0.039
852.0,91.7,83.9,23.34,0.04,686.2,2.39,0.039
855.0,91.2,84.18,23.61,0.038,710.7,2.42,0.044
858.0,88.8,84.44,23.88,0.037,734.5,2.43,0.052
861.0,85.8,84.7,24.17,0.036,745.0,2.41,0.058
864.0,84.4,84.95,24.46,0.035,765.5,2.42,0.063
867.0,83.3,85.2,24.76,0.034,796.1,2.47,0.075
870.0,82.1,85.45,25.05,0.033,837.0,2.54,0.079
873.0,82.4,85.7,25.32,0.032,860.1,2.54,0.081
876.0,79.9,85.94,25.55,0.031,885.9,2.52,0.08
879.0,78.4,86.17,25.74,0.03,913.2,2.55,0.086
882.0,74.5,86.4,25.86,0.028,966.8,2.66,0.11
885.0,74.6,86.62,25.92,0.027,999.1,2.65,0.128
888.0,74.6,86.84,25.92,0.027,1017.1,2.5,0.168
891.0,70.9,87.06,25.88,0.026,1039.7,2.34,0.199
894.0,62.1,87.24,25.8,0.026,1071.1,2.32,0.214
897.0,58.5,87.42,25.72,0.025,1108.8,2.45,0.2
900.0,61.2,87.6,25.64,0.024,1147.6,2.59,0.188
903.0,65.1,87.8,25.6,0.024,1168.5,2.44,0.237
906.0,62.1,87.98,25.6,0.024,1153.4,2.23,0.284
909.0,55.7,88.15,25.66,0.024,1176.6,2.19,0.289
912.0,53.6,88.31,25.78,0.023,1228.2,2.3,0.27
915.0,56.0,88.48,25.96,0.021,1295.0,2.44,0.291
918.0,56.2,88.65,26.21,0.021,1307.7,2.41,0.324
921.0,55.0,88.81,26.51,0.021,1305.7,2.41,0.309
924.0,54.9,88.98,26.85,0.021,1333.9,2.47,0.318
927.0,56.8,89.15,27.23,0.021,1354.6,2.5,0.357
930.0,55.6,89.32,27.61,0.02,1362.3,2.45,0.368
933.0,54.3,89.48,27.98,0.02,1393.9,2.48,0.374
936.0,56.3,89.65,28.31,0.019,1457.4,2.57,0.364
939.0,53.5,89.81,28.6,0.018,1528.9,2.72,0.404
942.0,55.1,89.97,28.83,0.018,1530.2,2.76,0.402
945.0,55.2,90.14,29.0,0.018,1534.3,2.7,0.397
948.0,55.3,90.3,29.11,0.018,1554.2,2.68,0.409
951.0,53.7,90.47,29.18,0.019,1496.5,2.58,0.39
954.0,53.1,90.63,29.22,0.02,1438.4,2.56,0.376
957.0,54.8,90.79,29.25,0.019,1449.1,2.67,0.358
960.0,58.0,90.96,29.26,0.019,1502.1,2.76,0.372
963.0,56.2,91.13,29.26,0.019,1437.3,2.63,0.326
966.0,56.2,91.3,29.25,0.02,1428.6,2.7,0.367
969.0,59.1,91.48,29.22,0.019,1446.6,2.79,0.359
972.0,58.8,91.65,29.19,0.02,1423.6,2.73,0.329
975.0,58.3,91.83,29.15,0.02,1394.5,2.67,0.332
978.0,59.2,92.01,29.11,0.02,1368.2,2.58,0.301
981.0,59.3,92.19,29.11,0.02,1382.8,2.59,0.326
984.0,57.0,92.36,29.15,0.02,1375.2,2.53,0.334
987.0,56.4,92.53,29.27,0.02,1365.0,2.48,0.313
990.0,54.8,92.69,29.47,0.02,1407.8,2.53,0.342
993.0,56.6,92.86,29.78,0.019,1462.9,2.63,0.34
996.0,56.0,93.03,30.2,0.019,1504.4,2.73,0.357
999.0,56.0,93.2,30.72,0.019,1507.1,2.7,0.367
1002.0,53.8,93.36,31.33,0.018,1535.3,2.74,0.374
1005.0,54.4,93.52,32.01,0.018,1599.2,2.83,0.381
1008.0,55.9,93.69,32.73,0.017,1658.8,2.89,0.398
1011.0,54.8,93.85,33.46,0.017,1678.3,2.94,0.41
1014.0,56.6,94.02,34.18,0.016,1785.3,3.12,0.44
1017.0,54.0,94.18,34.85,0.015,1909.7,3.3,0.454
1020.0,53.6,94.35,35.48,0.015,1928.5,3.3,0.479
1023.0,51.5,94.5,36.06,0.014,1965.8,3.36,0.478
1026.0,53.2,94.66,36.61,0.014,2064.5,3.52,0.499
1029.0,53.5,94.82,37.18,0.015,1901.0,3.2,0.48
1032.0,53.3,94.98,37.79,0.015,1849.9,3.16,0.465
1035.0,53.6,95.14,38.5,0.015,1917.0,3.29,0.483
1038.0,53.6,95.3,39.34,0.014,2041.8,3.45,0.491
1041.0,52.4,95.46,40.34,0.013,2110.5,3.52,0.495
1044.0,51.4,95.61,41.49,0.013,2089.4,3.49,0.507
1047.0,52.8,95.77,42.78,0.013,2235.5,3.7,0.557
1050.0,51.5,95.93,44.16,0.012,2396.8,3.98,0.562
1053.0,49.9,96.07,45.59,0.011,2522.9,4.2,0.585
1056.0,50.2,96.23,46.99,0.011,2579.5,4.3,0.628
1059.0,53.4,96.39,48.29,0.01,2746.3,4.52,0.659
1062.0,51.6,96.54,49.4,0.01,2958.1,4.87,0.725
1065.0,51.6,96.7,50.29,0.009,3002.3,4.95,0.742
1068.0,51.0,96.85,50.92,0.01,2924.5,4.75,0.709
1071.0,52.4,97.01,51.28,0.009,2997.7,4.75,0.681
1074.0,50.1,97.16,51.38,0.01,2897.6,4.8,0.684
1077.0,49.4,97.3,51.25,0.01,2724.3,4.61,0.665
1080.0,54.1,97.47,50.92,0.01,2768.5,4.62,0.696
1083.0,52.4,97.62,50.42,0.01,2916.1,4.74,0.675
1086.0,50.8,97.78,49.77,0.01,2811.2,4.58,0.682
1089.0,51.2,97.93,49.02,0.01,2728.2,4.41,0.648
1092.0,50.9,98.08,48.2,0.01,2742.5,4.37,0.641
1095.0,50.5,98.23,47.34,0.01,2760.4,4.46,0.633
1098.0,48.2,98.38,46.48,0.011,2529.1,4.13,0.569
1101.0,51.0,98.53,45.64,0.012,2403.2,3.88,0.558
1104.0,51.0,98.68,44.85,0.011,2485.7,4.05,0.584
1107.0,48.8,98.83,44.11,0.011,2492.6,4.1,0.598
1110.0,49.5,98.98,43.42,0.012,2346.5,3.91,0.535
1113.0,51.9,99.13,42.77,0.012,2400.3,3.97,0.562
1116.0,50.0,99.28,42.15,0.011,2504.0,4.06,0.594
1119.0,51.0,99.44,41.56,0.012,2403.4,3.9,0.584
1122.0,48.4,99.58,41.0,0.013,2238.3,3.59,0.495
1125.0,50.8,99.74,40.48,0.013,2203.3,3.53,0.525
1128.0,49.7,99.88,40.0,0.013,2195.9,3.5,0.469
1131.0,49.9,100.03,39.56,0.013,2165.6,3.47,0.482
1134.0,49.8,100.18,39.16,0.013,2110.3,3.38,0.485
1137.0,50.3,100.33,38.77,0.013,2237.5,3.51,0.472
1140.0,48.7,100.48,38.39,0.012,2289.6,3.57,0.499
1143.0,48.7,100.63,38.01,0.012,2276.8,3.56,0.521
1146.0,49.6,100.78,37.62,0.013,2227.7,3.53,0.52
1149.0,47.9,100.92,37.24,0.013,2231.6,3.57,0.517
1152.0,49.2,101.07,36.9,0.013,2111.5,3.3,0.465
1155.0,47.6,101.21,36.64,0.014,1992.0,3.08,0.441
1158.0,47.9,101.35,36.5,0.014,2046.9,3.2,0.48
1161.0,48.9,101.5,36.51,0.014,2003.2,3.09,0.459
1164.0,49.9,101.65,36.68,0.014,1958.1,3.03,0.433
1167.0,48.9,101.8,37.04,0.014,2012.4,3.15,0.475
1170.0,48.1,101.94,37.56,0.013,2125.2,3.34,0.494
1173.0,50.5,102.09,38.24,0.013,2178.1,3.33,0.472
1176.0,47.9,102.24,39.06,0.013,2248.4,3.4,0.486
1179.0,49.0,102.38,39.98,0.012,2336.4,3.52,0.499
1182.0,48.0,102.53,40.99,0.011,2488.0,3.79,0.564
1185.0,48.3,102.67,42.07,0.012,2333.3,3.56,0.498
1188.0,47.9,102.82,43.18,0.012,2330.7,3.54,0.496
1191.0,49.6,102.96,44.29,0.011,2657.8,4.09,0.59
1194.0,48.1,103.11,45.35,0.01,2741.1,4.15,0.597
1197.0,48.9,103.26,46.34,0.01,2832.8,4.26,0.69
1200.0,46.4,103.39,47.21,0.01,2855.5,4.25,0.712
1203.0,49.2,103.54,47.94,0.009,3122.4,4.6,0.76
1206.0,47.8,103.69,48.51,0.009,3065.2,4.49,0.731
1209.0,45.2,103.82,48.9,0.009,2983.3,4.39,0.725
1212.0,45.9,103.96,49.05,0.01,2936.8,4.41,0.747
1215.0,46.3,104.1,48.87,0.01,2941.2,4.44,0.685
1218.0,47.8,104.24,48.2,0.009,3097.8,4.67,0.764
1221.0,47.4,104.38,46.8,0.01,2981.1,4.46,0.695
1224.0,47.3,104.52,44.38,0.01,2937.6,4.28,0.69
1227.0,46.8,104.67,40.64,0.009,3173.6,4.6,0.77
1230.0,44.6,104.8,35.35,0.009,3251.7,4.72,0.797
1233.0,47.7,104.94,28.42,0.009,3239.4,4.76,0.807
1236.0,46.9,105.08,19.97,0.009,3292.0,4.79,0.804
1239.0,48.2,105.23,10.34,0.008,3512.0,5.1,0.865
1242.0,45.2,105.36,0.06,0.009,3322.3,4.69,0.737
,,,,,,,
